
Source        Description      HotFixID      InstalledBy          InstalledOn              
------        -----------      --------      -----------          -----------              
EC2AMAZ-DP... Security Update  KB5058525     NT AUTHORITY\SYSTEM  5/15/2025 12:00:00 AM    
EC2AMAZ-DP... Security Update  KB5062800     NT AUTHORITY\SYSTEM  7/9/2025 12:00:00 AM     
EC2AMAZ-DP... Security Update  KB5065765     NT AUTHORITY\SYSTEM  9/11/2025 12:00:00 AM    
EC2AMAZ-DP... Security Update  KB5066585     NT AUTHORITY\SYSTEM  10/15/2025 12:00:00 AM   
EC2AMAZ-DP... Security Update  KB5070248     NT AUTHORITY\SYSTEM  11/12/2025 12:00:00 AM   
EC2AMAZ-DP... Security Update  KB5074222     NT AUTHORITY\SYSTEM  1/14/2026 12:00:00 AM    
EC2AMAZ-DP... Security Update  KB5075903     NT AUTHORITY\SYSTEM  2/12/2026 12:00:00 AM    
EC2AMAZ-DP... Security Update  KB5082118     NT AUTHORITY\SYSTEM  4/15/2026 12:00:00 AM    
EC2AMAZ-DP... Security Update  KB5089760     NT AUTHORITY\SYSTEM  5/13/2026 12:00:00 AM    
EC2AMAZ-DP... Security Update  KB5094143     NT AUTHORITY\SYSTEM  6/10/2026 12:00:00 AM    
EC2AMAZ-DP... Security Update  KB5104020     NT AUTHORITY\SYSTEM  7/15/2026 12:00:00 AM    
EC2AMAZ-DP... Security Update  KB5122875     NT AUTHORITY\SYSTEM  9/11/2026 12:00:00 AM    
EC2AMAZ-DP... Security Update  KB5005701     NT AUTHORITY\SYSTEM  9/15/2021 12:00:00 AM    


