Machine Name,Policy Target,Subcategory,Subcategory GUID,Inclusion Setting,Exclusion Setting,Setting Value
WIN-3UTCMERJ8FK,System,Directory Service Replication,{0CCE923D-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN-3UTCMERJ8FK,System,Other Account Logon Events,{0CCE9241-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN-3UTCMERJ8FK,System,Kerberos Service Ticket Operations,{0CCE9240-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN-3UTCMERJ8FK,System,Credential Validation,{0CCE923F-69AE-11D9-BED3-505054503030},Success and Failure,,3
WIN-3UTCMERJ8FK,System,Kerberos Authentication Service,{0CCE9242-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN-3UTCMERJ8FK,,Option:CrashOnAuditFail,,Disabled,,0
WIN-3UTCMERJ8FK,,Option:FullPrivilegeAuditing,,Disabled,,0
WIN-3UTCMERJ8FK,,Option:AuditBaseObjects,,Disabled,,0
WIN-3UTCMERJ8FK,,Option:AuditBaseDirectories,,Disabled,,0
WIN-3UTCMERJ8FK,,FileGlobalSacl,,,,
WIN-3UTCMERJ8FK,,RegistryGlobalSacl,,,,
